date,year,quarter,month,day,day_of_week,day_name,week_of_year,season,is_weekend,is_holiday,holiday_name
2023-06-30,2023,2,6,30,4,Friday,26,summer,0,0,
2023-07-01,2023,3,7,1,5,Saturday,26,summer,1,0,
2023-07-02,2023,3,7,2,6,Sunday,26,summer,1,0,
2023-07-03,2023,3,7,3,0,Monday,27,summer,0,0,
2023-07-04,2023,3,7,4,1,Tuesday,27,summer,0,0,
2023-07-05,2023,3,7,5,2,Wednesday,27,summer,0,0,
2023-07-06,2023,3,7,6,3,Thursday,27,summer,0,0,
2023-07-07,2023,3,7,7,4,Friday,27,summer,0,0,
2023-07-08,2023,3,7,8,5,Saturday,27,summer,1,0,
2023-07-09,2023,3,7,9,6,Sunday,27,summer,1,0,
2023-07-10,2023,3,7,10,0,Monday,28,summer,0,0,
2023-07-11,2023,3,7,11,1,Tuesday,28,summer,0,0,
2023-07-12,2023,3,7,12,2,Wednesday,28,summer,0,0,
2023-07-13,2023,3,7,13,3,Thursday,28,summer,0,0,
2023-07-14,2023,3,7,14,4,Friday,28,summer,0,0,
2023-07-15,2023,3,7,15,5,Saturday,28,summer,1,0,
2023-07-16,2023,3,7,16,6,Sunday,28,summer,1,0,
2023-07-17,2023,3,7,17,0,Monday,29,summer,0,0,
2023-07-18,2023,3,7,18,1,Tuesday,29,summer,0,0,
2023-07-19,2023,3,7,19,2,Wednesday,29,summer,0,0,
2023-07-20,2023,3,7,20,3,Thursday,29,summer,0,0,
2023-07-21,2023,3,7,21,4,Friday,29,summer,0,0,
2023-07-22,2023,3,7,22,5,Saturday,29,summer,1,0,
2023-07-23,2023,3,7,23,6,Sunday,29,summer,1,0,
2023-07-24,2023,3,7,24,0,Monday,30,summer,0,0,
2023-07-25,2023,3,7,25,1,Tuesday,30,summer,0,0,
2023-07-26,2023,3,7,26,2,Wednesday,30,summer,0,0,
2023-07-27,2023,3,7,27,3,Thursday,30,summer,0,0,
2023-07-28,2023,3,7,28,4,Friday,30,summer,0,0,
2023-07-29,2023,3,7,29,5,Saturday,30,summer,1,0,
2023-07-30,2023,3,7,30,6,Sunday,30,summer,1,0,
2023-07-31,2023,3,7,31,0,Monday,31,summer,0,0,
2023-08-01,2023,3,8,1,1,Tuesday,31,summer,0,0,
2023-08-02,2023,3,8,2,2,Wednesday,31,summer,0,0,
2023-08-03,2023,3,8,3,3,Thursday,31,summer,0,0,
